Date,Time,Lat,Lon,Depth,Mag
1980/02/23, 05:51:03.20,  43.5300,  146.7530,  44.00,  7.00
1980/07/08, 23:19:19.80, -12.4100,  166.3810,  33.00,  7.50
1980/07/17, 19:42:23.20, -12.5250,  165.9160,  33.00,  7.90
1980/10/10, 12:25:23.50,  36.1950,    1.3540,  10.00,  7.30
1980/10/25, 11:00:05.10, -21.8900,  169.8530,  33.00,  7.20
1980/11/08, 10:27:33.20,  41.0842, -124.6157,  14.64,  7.20
1981/01/30, 08:52:44.10,  51.7440,  176.2740,  33.00,  7.00
1981/05/25, 05:25:14.40, -48.7860,  164.3570,  33.00,  7.60
1981/07/06, 03:08:24.18, -22.2930,  171.7420,  33.00,  7.00
1981/07/15, 07:59:08.47, -17.2600,  167.6010,  30.00,  7.00
1981/09/01, 09:29:31.54, -14.9600, -173.0850,  25.00,  7.70
1981/12/26, 17:05:32.52, -29.9340, -177.7410,  33.00,  7.10
1982/06/07, 10:59:40.16,  16.5580,  -98.3580,  33.80,  7.00
1982/06/19, 06:21:58.00,  13.3130,  -89.3390,  81.60,  7.00
1982/07/07, 10:43:03.74, -51.2250,  160.5130,  10.00,  7.00
1982/08/05, 20:32:52.95, -12.5970,  165.9310,  30.70,  7.10
1982/12/19, 17:43:54.85, -24.1330, -175.8640,  33.00,  7.70
1983/03/18, 09:05:50.00,  -4.8830,  153.5810,  88.80,  7.60
1983/04/03, 02:50:01.18,   8.7170,  -83.1230,  37.00,  7.30
1983/05/26, 02:59:59.60,  40.4620,  139.1020,  23.70,  7.70
1983/08/17, 10:55:54.13,  55.8670,  161.2870,  62.60,  7.00
1983/10/04, 18:52:13.30, -26.5350,  -70.5630,  14.80,  7.30
1983/11/24, 05:30:34.23,  -7.4810,  128.1680, 178.50,  7.10
1983/11/30, 17:46:00.67,  -6.8520,   72.1100,  10.00,  7.60
1983/12/02, 03:09:05.66,  14.0660,  -91.9240,  67.10,  7.10
1983/12/30, 23:52:39.93,  36.3720,   70.7380, 214.50,  7.20
1984/02/07, 21:33:21.49, -10.0120,  160.4690,  18.10,  7.50
1984/03/19, 20:28:38.24,  40.3200,   63.3500,  14.50,  7.00
1984/10/15, 10:21:07.50, -15.8600, -173.6430, 128.40,  7.10
1984/11/01, 04:48:50.27,   8.1850,  -38.7940,  10.00,  7.10
1984/11/17, 06:49:30.02,   0.1970,   98.0270,  33.00,  7.20
1985/03/03, 22:47:07.28, -33.1350,  -71.8710,  33.00,  7.80
1985/04/09, 01:56:59.48, -34.1310,  -71.6180,  37.80,  7.20
1985/05/10, 15:35:50.59,  -5.5990,  151.0450,  26.70,  7.10
1985/07/03, 04:36:51.73,  -4.4390,  152.8280,  33.00,  7.20
1985/08/23, 12:41:56.16,  39.4310,   75.2240,   6.80,  7.30
1985/09/19, 13:17:47.35,  18.1900, -102.5330,  27.90,  8.10
1985/09/21, 01:37:13.47,  17.8020, -101.6470,  30.80,  7.60
1985/09/26, 07:27:51.13, -34.6930, -178.6560,  51.60,  7.00
1985/11/17, 09:40:21.29,  -1.6390,  134.9110,  10.00,  7.10
1985/11/28, 02:25:42.34, -14.0430,  166.2400,  33.00,  7.00
1985/11/28, 03:49:54.15, -13.9870,  166.1850,  33.00,  7.10
1986/05/07, 22:47:10.87,  51.5200, -174.7760,  33.00,  7.70
1986/06/24, 03:11:30.93,  -4.4480,  143.9430, 102.30,  7.10
1986/08/14, 19:39:13.67,   1.7950,  126.5190,  33.00,  7.20
1986/10/20, 06:46:09.98, -28.1170, -176.3670,  29.10,  8.10
1986/11/14, 21:20:10.55,  23.9010,  121.5740,  33.80,  7.80
1987/01/30, 22:29:42.09, -60.0630,  -26.9160,  47.60,  7.00
1987/02/08, 18:33:58.39,  -6.0880,  147.6890,  54.90,  7.40
1987/03/05, 09:17:05.28, -24.3880,  -70.1610,  62.30,  7.30
1987/10/06, 04:19:06.08, -17.9400, -172.2250,  16.00,  7.30
1987/10/16, 20:48:01.64,  -6.2660,  149.0600,  47.80,  7.40
1988/08/06, 00:36:24.65,  25.1490,   95.1270,  90.50,  7.20
1988/08/10, 04:38:26.17, -10.3660,  160.8190,  34.00,  7.40
1989/05/23, 10:54:46.32, -52.3410,  160.5680,  10.00,  8.20
1989/10/18, 00:04:15.19,  37.0362, -121.8798,  17.43,  7.00
1989/10/27, 21:04:51.82, -11.0220,  162.3500,  24.70,  7.00
1989/11/01, 18:25:34.94,  39.8370,  142.7600,  28.60,  7.40
1990/03/03, 12:16:27.96, -22.1220,  175.1630,  33.20,  7.40
